x,y,latitude,transparen,longitude,fid,station_vi,visit_date,color_id
24.345866,57.621883,57.621882999999997,3.000000000000000,24.345866000000001,5336,212367.0,2012/08/17 11:55:00.000,19.0
24.342916,57.619666,57.619666000000002,2.600000000000000,24.342915999999999,5337,212368.0,2012/08/17 12:05:00.000,19.0
24.337216,57.635883,57.635883000000000,2.800000000000000,24.337216000000002,5338,212369.0,2012/08/17 12:20:00.000,15.0
24.343116,57.636683,57.636682999999998,2.600000000000000,24.343115999999998,5339,212370.0,2012/08/17 12:30:00.000,15.0
24.347049,57.63745,57.637450000000001,3.200000000000000,24.347048999999998,5340,212371.0,2012/08/17 12:35:00.000,15.0
24.353033,57.6385,57.638500000000001,3.200000000000000,24.353033000000000,5341,212372.0,2012/08/17 12:45:00.000,13.0
24.357316,57.639183,57.639183000000003,3.000000000000000,24.357316000000001,5342,212373.0,2012/08/17 12:50:00.000,15.0
24.36435,57.6403,57.640300000000003,2.700000000000000,24.364350000000002,5343,212374.0,2012/08/17 13:00:00.000,15.0
24.32555,57.652883,57.652883000000003,1.800000000000000,24.325550000000000,5344,212375.0,2012/08/17 13:15:00.000,17.0
24.301083,57.828666,57.828665999999998,2.000000000000000,24.301082999999998,5345,212376.0,2012/08/17 13:40:00.000,15.0
24.307683,57.829099,57.829098999999999,1.800000000000000,24.307683000000001,5346,212377.0,2012/08/17 13:50:00.000,15.0
24.325366,57.829466,57.829465999999996,1.000000000000000,24.325365999999999,5347,212378.0,2012/08/17 16:00:00.000,15.0
24.315666,57.827816,57.827815999999999,1.400000000000000,24.315666000000000,5348,212379.0,2012/08/17 16:15:00.000,15.0
24.3062,57.816266,57.816265999999999,1.800000000000000,24.306200000000000,5349,212380.0,2012/08/17 16:30:00.000,15.0
24.293016,57.81335,57.813350000000000,2.200000000000000,24.293016000000001,5350,212381.0,2012/08/17 16:40:00.000,15.0
24.277999,57.808966,57.808965999999998,2.600000000000000,24.277999000000001,5351,212382.0,2012/08/17 16:55:00.000,17.0
24.254533,57.804949,57.804949000000001,2.600000000000000,24.254532999999999,5352,212383.0,2012/08/17 17:10:00.000,15.0
24.2389,57.802983,57.802982999999998,2.400000000000000,24.238900000000001,5353,212384.0,2012/08/17 17:25:00.000,15.0
24.230983,57.8008,57.800800000000002,2.400000000000000,24.230982999999998,5354,212385.0,2012/08/17 17:35:00.000,15.0
24.20365,57.793733,57.793733000000003,2.200000000000000,24.203650000000000,5355,212386.0,2012/08/17 17:45:00.000,15.0
24.2272,57.767933,57.767932999999999,2.200000000000000,24.227200000000000,5356,212387.0,2012/08/17 18:00:00.000,15.0
24.229416,57.763649,57.763649000000001,2.000000000000000,24.229416000000001,5357,212388.0,2012/08/17 18:10:00.000,15.0
24.244516,57.76005,57.760050000000000,1.800000000000000,24.244516000000001,5358,212389.0,2012/08/17 18:15:00.000,15.0
24.27615,57.761966,57.761966000000001,1.800000000000000,24.276150000000001,5359,212390.0,2012/08/17 18:30:00.000,15.0
24.282833,57.76755,57.767550000000000,2.200000000000000,24.282833000000000,5360,212391.0,2012/08/17 18:40:00.000,15.0
24.293933,57.7622,57.762200000000000,2.000000000000000,24.293932999999999,5361,212392.0,2012/08/17 18:50:00.000,15.0
